灵境行者; 卖报小郎君; 科幻; LZ
我的诡异人生; 白刃斩春风; 玄幻; LZ
我可不是侦探; 海底漫步者; 都市; LZ
天启预报; 风月; 奇幻; LZ
从武王伐纣开始建立千年世家; 花非花月夜; 历史; LZ
我的物品有升级面板; 枸杞不好喝; 科幻; LZ
在美漫当心灵导师的日子; 遇牧烧绳; 轻小说; LZ
大医无疆; 石章鱼; 都市; LZ
四合院之饮食男女; 武文弄沫; 都市; LZ
从刷经验开始修行; 水煮多宝鱼; 都市; LZ
凡人修仙传; 忘语; 仙侠; WJ
术师手册; 听日; 轻小说; LZ
开局失业，我让歌坛大魔王回归; 程砚秋; 都市; LZ
我在修仙界万古长青; 快餐店; 仙侠; LZ
剑本是魔; 惰堕; 仙侠; LZ
帝霸; 厌笔萧生; 玄幻; LZ
深渊独行; 言归正传; 科幻; LZ
陈医生，别怂！; 手握寸关尺; 都市; LZ
大明：开局成为锦衣卫; 三两忧愁; 玄幻; LZ
人道大圣; 莫默; 玄幻; LZ
LOL：我真是联盟职业选手; 绝望从小很绝望; 游戏; LZ
这个明星很想退休; 幼儿园一把手; 都市; WJ
重生之我要冲浪; 睡觉会变白; 都市; LZ
我真没想重生啊; 柳岸花又明; 都市; WJ
斗破苍穹; 天蚕土豆; 玄幻; WJ
从漂在港综开始; 大一大夫; 诸天无限; LZ
仙人只想躺着; 猪心虾仁; 都市; LZ
猎人：我真不是除念师; 紫蓝色的猪; 轻小说; LZ
这个文字冒险游戏绝对有毒; 七字五彩; 科幻; LZ
苟在女魔头身边偷偷修炼; 怕辣的红椒; 仙侠; LZ
武侠：开局奖励满级神功; 落魄的小纯洁; 武侠; LZ
玄德; 御炎; 历史; LZ
消费系男神; 起酥面包; 都市; LZ
光明壁垒; 会摔跤的熊猫; 科幻; LZ
我能无限合成超凡基因; 旧篆KK; 科幻; LZ
长生太监; 火到星空深处; 玄幻; LZ
青莲之巅; 肖十一莫; 仙侠; LZ
从柯南开始重新做人; 李四羊; 轻小说; LZ
差异点末日; 更从心; 游戏; LZ
期待在异世界; 如倾如诉; 诸天无限; LZ
开局签到荒古圣体; J神; 玄幻; LZ
斗罗：砍我就掉宝，比比东上瘾了; 这波炸了; 轻小说; LZ
转行后，我成了篮坛第一人; 葛洛夫街兄弟; 体育; LZ
从执教皇马开始; 陈爱庭; 体育; LZ
修仙就是这样子的; 凤嘲凰; 仙侠; LZ
医路坦途; 臧福生; 都市; LZ
重生大时代之1993; 三月麻竹; 都市; LZ
讨逆; 迪巴拉爵士; 历史; LZ
黜龙; 榴弹怕水; 历史; LZ
全职高手; 蝴蝶蓝; 游戏; WJ
我有一个修仙世界; 纯九莲宝灯; 仙侠; LZ
香江新豪门; 任猪飞; 都市; LZ
联盟：我真没有摆烂啊！; 幽影夜神; 游戏; LZ
偷偷养只小金乌; 育; 玄幻; LZ
大唐第一世家; 晴了; 历史; WJ
从神探李元芳开始; 兴霸天; 历史; LZ
重生后才发现我有青梅; 曹瞒君; 轻小说; LZ
大乘期才有逆袭系统; 最白的乌鸦; 仙侠; WJ
仙子，请听我解释; 弥天大厦; 仙侠; LZ
这个影帝要加钱; 游方老盗; 都市; LZ
道士夜仗剑; 亲吻指尖; 仙侠; LZ
LOL：这个男人太强了！; 一片苏叶; 游戏; LZ
什么叫六边形打野啊; 这很科学啊; 游戏; LZ
从木叶开始逃亡; 叶惜宁; 轻小说; LZ
我的模拟长生路; 愤怒的乌贼; 仙侠; LZ
什么叫破坏型中场啊; 亲爱的瓜; 体育; LZ
三国：曹营谋主，朝九晚五; 不屈青铜; 历史; LZ
万族之劫; 老鹰吃小鸡; 都市; WJ
开局满级爆射，梅西求我入阿根廷; 臊子拌面; 体育; LZ
秦功; 下雨我带刀; 历史; LZ
惊悚乐园; 三天两觉; 游戏; WJ
家兄朱由校; 北城二千; 历史; LZ
谍影凌云; 罗飞羽; 军事; LZ
混在洪武当咸鱼; 火红的鸡枞; 历史; LZ
我在截教看大门; 戈者何慕; 玄幻; LZ
呢喃诗章; 咸鱼飞行家; 轻小说; LZ
7号基地; 净无痕; 科幻; LZ
重回1982小渔村; 米饭的米; 都市; LZ
晚唐浮生; 孤独麦客; 历史; LZ
四合院：最后的赢家; 曹丞相大人; 都市; LZ
我，天煞孤星，爱好交友; 老婆大大; 仙侠; LZ
亚人娘补完手册; 伊巍蟹; 轻小说; LZ
影帝他不想当太监; 江公子阿宝; 都市; LZ
只会打游戏的我，被全球奉为神明; 沉唐枕月; 轻小说; LZ
超神机械师; 齐佩甲; 游戏; WJ
崇祯大明：从煤山开始; 寂寞剑客; 历史; LZ
巫师：从骑士呼吸法开始肝经验; 田隶; 玄幻; LZ
恋爱要在模拟后; 归来细雨中; 轻小说; LZ
我在大虞长生; 吃红薯不; 仙侠; LZ
我在凡人科学修仙; 洛青子; 仙侠; LZ
亲爱的，该吃药了！; 小小小小小小飞; 轻小说; LZ
走进不科学; 新手钓鱼人; 科幻; LZ
我的青梅，她逐渐膨胀了; 蜂蜜加冰; 都市; LZ
火影：来自宇智波的情报商; 圣宝兰; 轻小说; LZ
我的艺人邻居; 青椒真好吃; 都市; LZ
表白99次，校花急了; 护好我家狗子; 都市; LZ
整座大山都是我的猎场; 百李山中仙; 都市; LZ
柯南之我不是蛇精病; 烟火酒颂; 轻小说; LZ
我在诸天有角色; 太素先生; 诸天无限; LZ
半仙; 跃千愁; 仙侠; LZ
开局账号被盗，反手充值一百万; 酒剑仙人; 都市; LZ
穿越秦时的日常生活; 云间曼陀; 轻小说; LZ
从流浪地球开始的诸天; 红尘谪仙li; 诸天无限; LZ
华娱1997; 胖一点; 都市; LZ
斗罗之我的系统又不服气了; 九号掌柜; 轻小说; LZ
亏成首富从游戏开始; 青衫取醉; 游戏; WJ
长生仙缘：从照顾道兄妻女开始; 孤飞雪; 仙侠; LZ
曾经，我想做个好人; 常世; 轻小说; LZ
十六岁，是四代目水影; 埃尔德卷轴; 轻小说; LZ
我一个人砍翻乱世; 新丰; 玄幻; LZ
我有一身被动技; 熬夜吃苹果; 玄幻; LZ
从天才开始无敌于斗破; a小白b; 轻小说; LZ
霸武; 开荒; 仙侠; LZ
我在亮剑搞援助; 骑鲸蹈海; 军事; LZ
终末的绅士; 穿黄衣的阿肥; 科幻; LZ
这个天师不正经; 布里包子; 都市; LZ
警察叫我备案，苦练绝学的我曝光; 绝月清空; 都市; LZ
武德充沛; 烟火成城; 科幻; LZ
重生飞扬年代; 金蟾老祖; 都市; LZ
最初进化; 卷土; 玄幻; LZ
一开始，我只想搞钱; 油炸大金; 都市; LZ
日光木叶; 易安z; 轻小说; LZ
苟在异界成武圣; 再入江湖; 玄幻; LZ
天朝仙吏; 六戏; 仙侠; LZ
篮坛：从神经刀开始; 无情恋苍生; 体育; LZ
终极星卡师; 云上椿; 玄幻; LZ
百世求仙; 黑茄酿啤酒; 仙侠; LZ
在木叶打造虫群科技树; 百战羊; 轻小说; LZ
没野心的影帝; 路人.v1; 都市; LZ
万道龙皇; 牧童听竹; 玄幻; WJ
我的徒弟都是大反派; 谋生任转蓬; 玄幻; WJ
大明小学生; 随轻风去; 历史; LZ
碧落天刀; 风凌天下; 玄幻; LZ
我的谍战岁月; 猪头七; 军事; LZ
从龙族开始打穿世界; 起飞的大象; 轻小说; LZ
我只想安静的做个苟道中人; 爆炸小拿铁; 仙侠; LZ
东京第一深情; 我的大树出无尽; 轻小说; LZ
大苍守夜人; 二十四桥明月夜; 仙侠; LZ
长生武道：从五禽养生拳开始; 真不是许仙; 玄幻; LZ
长生道种; 钓鲸者; 玄幻; LZ
我在综武摸鱼的日子; 黑白大团子; 武侠; LZ
北美神探：我精通各种美式居合; 一帆狗贼; 都市; LZ
现代长生：从八段锦开始; 二将; 都市; LZ
顶级悟性：从基础拳法开始; 月中阴; 玄幻; LZ
修仙就是这么科学; 吃瓜子群众; 仙侠; LZ
修炼从简化功法开始; 努力吃鱼; 玄幻; LZ
没有英灵的我只能亲自下场; 芋泥猫猫茶; 玄幻; LZ
从红月开始; 黑山老鬼; 科幻; WJ
妖尾：开局捕捉妖精女王艾露莎; 墨守不成呱; 轻小说; LZ
斗罗：左手金箍棒右手盘古斧; 貌若潘安; 轻小说; WJ
重塑千禧年代; 渔雪; 都市; LZ
美利坚1982; 一勺往事; 都市; LZ
重生日常修仙; 庭院阳光好; 都市; LZ
人生副本游戏; 我爱小依; 轻小说; LZ
柯南里的捡尸人; 仙舟; 轻小说; LZ
龙族：从战锤归来的路明非; 白色圣堂; 轻小说; LZ
禁区之狐; 林海听涛; 体育; LZ
签约AC米兰后，我开摆了; 葬爱叶良辰; 体育; LZ
从大学讲师到首席院士; 不吃小南瓜; 科幻; LZ
我真不想跟神仙打架; 中秋月明; 都市; LZ
星环使命; 虚伪王庭; 科幻; LZ
我能进入众生前世; 知好道人; 仙侠; LZ
数风流人物; 瑞根; 历史; LZ
执法者手册; 桃咕; 轻小说; LZ
最后的黑暗之王; 山川不念; 玄幻; LZ
情圣结局后我穿越了; 夏竖琴; 仙侠; LZ
诡异复苏，我神明的身份瞒不住了; 半纸情书0; 游戏; LZ
苟在东宫涨天赋，发现太子女儿身; 机械八爪; 玄幻; LZ
重生之似水流年; 苍山月; 都市; WJ
重回七七种田养娃; 参娃; 都市; LZ
我和大明星闪婚的日子; 微了个信; 都市; LZ
超维武仙; 万事皆虚; 玄幻; LZ
奶爸学园; 剑沉黄海; 都市; LZ
重生猫咪：你是我的铲屎官吗？; 我家的小鲤鱼; 诸天无限; LZ
从岁月道果开始成圣; 李鸿天; 玄幻; LZ
我，大明杀神; 三悔人生; 历史; LZ
这里是封神，励精图治有什么用; 尽付东流; 仙侠; LZ
大国军舰; 华东之雄; 军事; LZ
人道永昌; 小楼听风云; 仙侠; LZ
重生后，被倒追很正常吧; 懒洋洋本懒; 都市; LZ
被拒绝后，我成了世一教; 爱看球的蚂蚁; 体育; LZ
第一玩家; 流泪猫安头; 游戏; LZ
我以神明为食; 相思洗红豆; 科幻; LZ
战锤：开局就是灭世危机; 作死的小黑龙; 诸天无限; LZ
我只想好好当个反派; 插秧小能手; 都市; LZ
我钓的鱼能升级; 藏离; 都市; LZ
我有一座气运祭坛; 叮叮小石头; 武侠; LZ
我成了游戏里的反派之王; 萝卜丸; 游戏; LZ
赘婿; 愤怒的香蕉; 历史; LZ
叩问仙道; 雨打青石; 仙侠; LZ
全球灾变：我成了世界树; 水晶脑袋; 科幻; LZ
智人; 岭南仨人; 科幻; LZ
重生之逆流十年; 蜜汁姬; 轻小说; LZ
烂柯棋缘; 真费事; 仙侠; WJ
综武：同福算卦，开局为雄霸批命; 上官大锤; 玄幻; LZ
阿尔宙斯的海贼之旅; 白色鸽鸽子; 轻小说; LZ
朕; 王梓钧; 历史; LZ
修真四万年（《星域四万年》）; 卧牛真人; 科幻; WJ
四合院里的读书人; 八零阿涛; 都市; LZ
大时代从1983开始; 晨风天堂; 都市; LZ
我在香江兴风作浪; 竹叶糕; 都市; LZ
核动力剑仙; 乘风御剑; 玄幻; LZ
京都羽翼的荣光; 月华礼吻; 轻小说; LZ
龙族：开局卧底，封神之路; 威严; 轻小说; LZ
从解析太阳开始; 竹围月色; 玄幻; LZ
这个明星不加班; 茗夜; 都市; LZ
高武大明：穿成朝廷鹰犬; 狐妖九千岁; 武侠; LZ
重生之我绝不当舔狗; 猫戏狗; 都市; LZ
重生的我只想专心学习; 纯纯的橙; 都市; LZ
我就是正常玩家！; 太白水君; 科幻; LZ
吞噬星空之升级就有奖; 叫我老唐; 轻小说; LZ
苟在仙界成大佬; 沉入太平洋; 仙侠; LZ
都市极品医神; 风会笑; 都市; LZ
大秦：不装了，你爹我是秦始皇; 头顶一只喵喵; 历史; LZ
神豪舅舅：开局带十个外甥逛超市; 嫩草吃黄牛; 都市; LZ
穿越成为失落文明的监护AI; 爆发尸; 科幻; LZ
天道今天不上班; 魔性沧月; 仙侠; LZ
赛博朋克：传奇人生; 深夜热泡面; 轻小说; LZ
长生修仙：我能用族人的气血加点; 百年老黄牛; 玄幻; LZ
曹操穿越武大郎; 神枪老飞侠; 历史; LZ
黑石密码; 三脚架; 奇幻; LZ
大夏文圣; 七月未时; 仙侠; LZ
大道争锋; 误道者; 仙侠; WJ
我一个综艺咖多才多艺很合理吧？; 冥夜冷月; 都市; LZ
我降临于诸天世界; 郭家; 诸天无限; LZ
大道韶华; 雾外江山; 仙侠; LZ
出场就满级的人生该怎么办; 伴读小牧童; 仙侠; LZ
逐道长青; 奕念之; 仙侠; LZ
滨江警事; 卓牧闲; 都市; LZ
庆余年; 猫腻; 历史; WJ
我的生活有旁白; 杯盏长生酒; 都市; LZ
放开那个女巫; 二目; 奇幻; WJ
不装了，我是厨神我摊牌了！; 馋嘴小猫咪; 都市; LZ
成为怪谈就算成功; 翟南; 轻小说; LZ
无限流的元宇宙; A000浮肿; 游戏; LZ
糜汉; 酱油拌历史; 历史; LZ
这个网游策划果然有问题; 献歌; 轻小说; LZ
靖安侯; 漫客1; 历史; LZ
危机处理游戏; 土土士; 都市; LZ
开局被始皇问斩怎么办？; 糖醋打工仔; 历史; LZ
我在修仙界长生不死; 木工米青; 仙侠; LZ
悍腰; 金印; 体育; LZ
我能用意念粉碎星球; 俺来组成头部; 科幻; LZ
干宋; 任鸟飞; 历史; LZ
乱世书; 姬叉; 玄幻; LZ
凡人之长生仙道; 三驴大夫; 仙侠; LZ
精灵之摆烂大师; 爱人火枪手; 轻小说; LZ
这么菜打什么职业？回家养猪去吧; 想天开; 游戏; LZ
在异界开医院没有那么难吧; 加兰2020; 奇幻; LZ
海兰萨领主; 海逸小猪; 奇幻; LZ
御兽巡使; 书荒被迫写书; 轻小说; LZ
英雄无敌之隐藏建筑大师; 凶猛公仓鼠; 游戏; LZ
靖明; 冬三十娘; 历史; LZ
我在现实世界加点修行; 人走偏锋; 科幻; LZ
仙府长生; 长亭空省; 仙侠; LZ
招黑体质开局修行在废土; 陈风笑; 科幻; LZ
打工先知; 小呆昭; 科幻; LZ
我的室友不对劲; 屠鸽者; 轻小说; LZ
嘿，妖道; 我是瞎混的; 仙侠; LZ
我的女友来自未来！; 骚茶; 轻小说; LZ
从剧本杀店开始; 吨吨吨吨吨; 都市; LZ
我黄龙，洪荒团宠; 登仙长安; 仙侠; LZ
我有一枚两界印; 西瓜吃葡萄; 仙侠; LZ
修真聊天群（聊天群的日常生活）; 圣骑士的传说; 都市; WJ
夫人让我三更死; 极品豆芽; 仙侠; LZ
这些妖怪怎么都有血条; 真的亦沉醉; 玄幻; LZ
机械炼金术士; 盲候; 游戏; LZ
黑神话：大唐; 独孤欢; 仙侠; LZ
还好分身可以投放万界; 团又圆; 轻小说; LZ
我将埋葬众神; 见异思剑; 仙侠; LZ
大明嫡长子; 皇家雇佣猫; 历史; LZ
狼人杀：请开始你的表演; 辣椒炒果米; 游戏; LZ
我在大明摸鱼的日子; 郑家老二; 历史; LZ
我加载了怪谈游戏; 十三谦; 轻小说; LZ
霍格沃茨之灰巫师; 睡个饱觉; 奇幻; LZ
冒牌女友是大明星; 未曾欢; 都市; LZ
白骨大圣; 咬火; 玄幻; LZ
诡异世界，我能敕封神明; 第九天命; 仙侠; LZ
我的悟性爆炸了; 爱睡觉懒人; 玄幻; LZ
人生模拟：从养生功开始加词条; 叁更兽; 玄幻; LZ
我老婆竟是家母的闺蜜; 太白猫; 都市; LZ
我绑架了时间线; 一刀斩斩斩; 科幻; LZ
武道长生从内丹术开始; 黑源白; 玄幻; LZ
福德天官; 忽悠啊; 仙侠; LZ
北阴大圣; 蒙面怪客; 科幻; LZ
神明模拟器; 鹿人戛; 科幻; LZ
真实世界; 小刀锋利; 都市; LZ
没钱上大学的我只能去屠龙了; 宇宙无敌水哥; 轻小说; LZ
海贼：第一个伙伴是汤姆猫; 想吃冰棒; 轻小说; LZ
在这个没有救世主的霍格沃茨; 大海船; 轻小说; LZ
漫游在影视世界; 不是马里奥; 诸天无限; LZ
神诡：从加点开始到地表最强; 卜灵卜灵的; 仙侠; LZ
超神：文明崛起; 撒娇的野狗; 轻小说; LZ
俗主; 南腔北调; 科幻; LZ
无限恐怖; zhttty; 诸天无限; WJ
一个人的道门; 剑如蛟; 仙侠; LZ
基因大时代; 猪三不; 科幻; LZ
美利坚财富之路; 新一思言; 都市; LZ
西游：瞎眼五百年，弟子全是大妖; 玄奕; 玄幻; LZ
怪猎：猎人的笔记; 是河豚啊; 游戏; LZ
北宋大法官; 南希北庆; 历史; LZ
全球游戏：旧日棋手; 雨落晚钟; 游戏; LZ
仙笼; 布谷聊; 仙侠; LZ
立下遗嘱，真相被曝光后全网泪崩; 游走游走; 都市; WJ
我在聊天群模拟长生路; 嫩菱如梦; 玄幻; LZ
为所欲为者; 路过二次元; 轻小说; LZ
斗罗大陆V重生唐三; 唐家三少; 玄幻; WJ
校花的贴身高手; 鱼人二代; 都市; LZ
修仙从祖先显灵开始; 天地有缺; 仙侠; LZ
宅魔女; 咸鱼成仙; 轻小说; LZ
大明嫡子; 肉丝米面; 历史; LZ
人族镇守使; 白驹易逝; 玄幻; LZ
无尽债务; Andlao; 轻小说; LZ
李治你别怂; 贼眉鼠眼; 历史; LZ
从明星野外生存秀开始; 来不及忧伤; 都市; LZ
杀生道果; 北海牧鲸; 仙侠; LZ
秦吏; 七月新番; 历史; WJ
我要与超人约架; 辣酱热干面; 轻小说; LZ
什么叫Carry型上单啊; 叫兽爱吃小龙虾; 游戏; LZ
稳住别浪; 跳舞; 都市; LZ
重生北魏末年; 我怎么可能是曹贼; 历史; LZ
弃宇宙; 鹅是老五; 仙侠; WJ
科技尽头; 一桶布丁; 科幻; LZ
我能召唤离谱伙伴; 扑街天线; 轻小说; LZ
光明！; 夜影恋姬; 科幻; LZ
祖宗人：从格温蜘蛛侠开始; 克劳德小丑; 轻小说; LZ
反套路重生; 平层; 科幻; LZ
神诡世界，我能修改命数; 白特慢啊; 玄幻; LZ
诡道修仙; 实属弟中之弟; 仙侠; LZ
我组建了最强剑客集团; 漱梦实; 轻小说; LZ
低调在修仙世界; 超喜欢吃烧烤; 仙侠; LZ
道祖是克苏鲁; 板斧战士; 仙侠; LZ
我打造了科学魔法; 纯洁小天使; 轻小说; LZ
开发大西北：我在戈壁建了一座城; 八月黄; 都市; LZ
余下的，只有噪音; 沉默的爱; 体育; LZ
我写的自传不可能是悲剧; 空长青; 科幻; LZ
我的师傅每到大限才突破; 猪肉200斤; 仙侠; LZ
斗罗之灵珠神剑; 开局玄幻小猪; 轻小说; WJ
一个喷嚏毁灭一个魔法文明; 永远十六岁; 奇幻; LZ
影视：开局获得阿尔法狗; 水晶咕咾肉; 诸天无限; LZ
为了写论文，你把秦始皇陵盗了？; 狗托Y; 都市; LZ
末日模拟器，我以剑道证超凡; 易子七; 科幻; LZ
仙人消失之后; 九方烨; 仙侠; LZ
让你当质子，你追敌国女帝？; 想喝胡辣汤吖; 仙侠; LZ
我在诸天轮回封神; 封七月; 玄幻; LZ
完美之双重卧底; 雨水中看风云; 轻小说; LZ
玩家请上车; 海晏山; 悬疑; LZ
我在修仙世界当收尸人; 万物皆可作; 仙侠; LZ
港娱的人生模拟器; 曾经拥有的方向感; 都市; LZ
这个外挂过于中二; 鱼狱圄; 玄幻; LZ
封侯; 高月; 历史; LZ
我家娘子是剑神; 一生要强的肥仔; 仙侠; LZ
在三国的非咸鱼生活; 黑风洞; 历史; LZ
噩梦惊袭; 温柔劝睡师; 悬疑; LZ
来自星渊; 深度绯红; 游戏; LZ
迷踪谍影; 西方蜘蛛; 军事; LZ
从低魔世界归来，先做人工智能; 吴杰超; 科幻; LZ
东京泡沫人生; 大肚杯; 都市; LZ
锅影忍者; 想静静的顿河; 轻小说; LZ
成仙后，蓝星老家联系我了; 屠龙证道; 轻小说; LZ
朕就是亡国之君; 吾谁与归; 历史; LZ
重生俄罗斯当寡头; 琉璃湾; 都市; LZ
我的老婆是执政官; 录事参军; 历史; LZ
成神后，我成了玩家口中的狗策划; 朔时雨; 游戏; LZ
治愈系医生; 真熊初墨; 都市; LZ
我能洞察万物信息; 三行天下; 仙侠; LZ
异仙列传; 流浪的蛤蟆; 仙侠; LZ
我的瓶中宇宙; 三百斤的微笑; 科幻; LZ
战地摄影师手札; 痞徒; 都市; LZ
开局躺平，截胡五星女帝老婆; 三冠绝尘; 玄幻; LZ
我大明二皇孙，开局挣下一亿两; 荀焱; 历史; LZ
诸天纵横，从港综开始; 李家小雨; 诸天无限; LZ
我的弟子全是大帝之资; 别让我通宵; 玄幻; LZ
我真的不虚啊; 武三毛; 仙侠; LZ
洛杉矶神探; 跑盘; 都市; LZ
合道; 断桥残雪; 仙侠; LZ
谍影风云; 寻青藤; 军事; WJ
第四次灵石金融危机; 健康国王; 科幻; LZ
异化武道; 猪怜碧荷; 玄幻; LZ
嘉佑嬉事; 血红; 仙侠; LZ
巫师世界的永生者; 蓝白海洋; 玄幻; LZ
我真没想当训练家啊; 北川南海; 轻小说; WJ
怪谈作者拖更日记; 一木啊; 科幻; LZ
这个明星画风不对; 剑走偏锋; 都市; LZ
开局顶流的我怎么会糊; 别人家的小猫咪; 都市; LZ
吾弟大秦第一纨绔; 精品香烟; 历史; LZ
我能召唤历史喵; 呜喵王之怒; 都市; LZ
超神宠兽店; 古羲; 玄幻; WJ
脑海带着一扇门; 薄荷也会上火; 都市; LZ
序列玩家; 踏浪寻舟; 悬疑; LZ
最长一梦; 屋外风吹凉; 都市; LZ
这个简化太离谱了！; 先挣个泡面钱; 都市; LZ
西游之开局加入聊天群; 我步入地狱; 仙侠; LZ
我成帝了金手指才来; 天涯月照今; 科幻; LZ
大明：我被朱棣模拟人生曝光了！; 摆烂的阿屠; 历史; LZ
我的修仙游戏人生; 青空洗雨; 仙侠; LZ
这个外援强到离谱; 街区转角; 游戏; LZ
全球卡牌：我创造东方神话卡组; 压盖; 玄幻; LZ
关于我无意间把妹妹养成废人这事; 我不喜欢偷懒; 轻小说; LZ
太受玩家欢迎该怎么办; 绯色回响; 轻小说; LZ
我家老婆来自一千年前; 花还没开; 轻小说; WJ
小阁老; 三戒大师; 历史; WJ
从聊斋开始做狐仙; 喵拳警告; 仙侠; LZ
火影：从无限月读走出的漩涡面麻; 爱讲道理; 轻小说; LZ
在第四天灾中幸存; 纳西利亚; 游戏; LZ
大明第一臣; 青史尽成灰; 历史; WJ
绝世狠人，砍翻天下; 缺悦; 武侠; LZ
这个演员刑啊; 青山病院扛把子; 都市; LZ
可爱的她有千层套路; 我今年火了; 都市; LZ
半岛小行星; 鸡兔同笼; 都市; LZ
美漫：我的战锤模拟器; 慈父纳垢; 诸天无限; LZ
治愈系篮球; 超级麦克风; 体育; LZ
掌上仙庭; 小白变老白; 仙侠; LZ
美综大枭雄; 焰火璀璨; 都市; LZ
灵境行者; 卖报小郎君; 科幻; LZ
深空彼岸; 辰东; 都市; LZ
光阴之外; 耳根; 仙侠; LZ
这游戏也太真实了; 晨星LL; 轻小说; LZ
道诡异仙; 狐尾的笔; 玄幻; LZ
轮回乐园; 那一只蚊子; 轻小说; LZ
不科学御兽; 轻泉流响; 玄幻; WJ
择日飞升; 宅猪; 仙侠; LZ
明克街13号; 纯洁滴小龙; 都市; LZ
机武风暴; 骷髅精灵; 科幻; LZ
宇宙职业选手; 我吃西红柿; 科幻; LZ
深海余烬; 远瞳; 科幻; LZ
请公子斩妖; 裴不了; 仙侠; LZ
刚成仙神，子孙求我出山; 任我笑; 仙侠; LZ
夜的命名术; 会说话的肘子; 都市; WJ
赤心巡天; 情何以甚; 仙侠; LZ
唐人的餐桌; 孑与2; 历史; LZ
诡秘之主; 爱潜水的乌贼; 玄幻; WJ
国民法医; 志鸟村; 都市; LZ
我的姐夫是太子; 上山打老虎额; 历史; LZ
我的属性修行人生; 滚开; 玄幻; LZ
当不成赘婿就只好命格成圣; 南瞻台; 玄幻; LZ
家父汉高祖; 历史系之狼; 历史; LZ
我家娘子，不对劲; 一蝉知夏; 轻小说; LZ
我用闲书成圣人; 出走八万里; 仙侠; LZ
渊天尊; 烽仙; 仙侠; LZ
皓玉真仙; 小道不讲武德; 仙侠; LZ
我是导演，我不比烂; 不是老狗; 都市; LZ
终宋; 怪诞的表哥; 历史; LZ
火力为王; 如水意; 都市; LZ
美漫世界黎明轨迹; 帅犬弗兰克; 游戏; LZ
神秘复苏; 佛前献花; 仙侠; LZ
我的公公叫康熙; 雁九; 历史; LZ
我就是神！; 历史里吹吹风; 玄幻; LZ
国术？贫道不会，我只会雷法; 乌龙桃子; 都市; LZ
红楼之挽天倾; 林悦南兮; 历史; LZ
超时空相亲; 业火之剑; 科幻; LZ
镇妖博物馆; 阎ZK; 悬疑; WJ
